movieId,title,genres,poster
115713,Ex Machina,Drama | Sci-Fi | Thriller,ex_machina_xlg.jpg
117529,Jurassic World,Action | Adventure | Sci-Fi | Thriller,jurassic_world_xlg.jpg
117895,Maze Runner: Scorch Trials,Action | Thriller,maze_runner_the_scorch_trials_xlg.jpg
119145,Kingsman: The Secret Service,Action | Adventure | Comedy | Crime,kingsman_the_secret_service_xlg.jpg
120466,Chappie,Action | Thriller,chappie_xlg.jpg
120799,Terminator Genisys,Action | Adventure | Sci-Fi | Thriller,terminator_genisys_xlg.jpg
122886,Star Wars: Episode VII - The Force Awakens,Action | Adventure | Fantasy | Sci-Fi,star_wars_episode_vii__the_force_awakens_xlg.jpg
122892,Avengers: Age of Ultron,Action | Adventure | Sci-Fi,avengers_age_of_ultron_xlg.jpg
122900,Ant-Man,Action | Adventure | Sci-Fi,ant_man_xlg.jpg
122902,Fantastic Four,Action | Adventure | Fantasy | Sci-Fi,fantastic_four_xlg.jpg
125914,Mortdecai,Adventure | Comedy | Mystery | Romance,mortdecai_xlg.jpg
125916,Fifty Shades of Grey,Drama | Romance,fifty_shades_of_grey_xlg.jpg
127114,The End of the Tour,Drama,end_of_the_tour_xlg.jpg
127124,I'll See You in My Dreams,Comedy | Drama,ill_see_you_in_my_dreams_xlg.jpg
127146,Kurt Cobain: Montage of Heck,Documentary,kurt_cobain_montage_of_heck_xlg.jpg
127198,Dope,Comedy | Drama,dope_xlg.jpg
127202,Me and Earl and the Dying Girl,Drama,me_and_earl_and_the_dying_girl_xlg.jpg
127208,Results,Comedy | Romance,results_xlg.jpg
127323,Vice,Action | Adventure | Sci-Fi | Thriller,vice_xlg.jpg
128360,The Hateful Eight,Western,hateful_eight_xlg.jpg
128488,Wild Card,Action | Crime | Drama | Thriller,wild_card_xlg.jpg
128838,Crimson Peak,Horror,crimson_peak_xlg.jpg
128975,Hot Tub Time Machine 2,Comedy | Sci-Fi,hot_tub_time_machine_two_xlg.jpg
129354,Focus,Comedy | Crime | Drama | Romance,focus_xlg.jpg
129428,The Second Best Exotic Marigold Hotel,Comedy | Drama,second_best_exotic_marigold_hotel_xlg.jpg
129937,Run All Night,Action | Crime | Drama | Thriller,run_all_night_xlg.jpg
130490,Insurgent,Action | Sci-Fi | Thriller,insurgent_xlg.jpg
130520,Home,Adventure | Animation | Children | Comedy | Fantasy | Sci-Fi,home_xlg.jpg
130578,The Gunman,Action | Thriller,gunman_xlg.jpg
130634,Furious 7,Action | Crime | Thriller,furious_seven_xlg.jpg
130840,Spring,Horror | Romance | Sci-Fi,spring_xlg.jpg
130956,Child 44,Crime | Thriller,child_fourfour_xlg.jpg
131013,Get Hard,Comedy | Crime,get_hard_xlg.jpg
131796,Woman in Gold,Drama,woman_in_gold_xlg.jpg
132046,Tomorrowland,Adventure | Sci-Fi,tomorrowland_xlg.jpg
132157,Paul Blart: Mall Cop 2,Action | Comedy | Crime,paul_blart_mall_cop_two_xlg.jpg
132796,San Andreas,Action | Drama | Thriller,san_andreas_xlg.jpg
132961,Far from the Madding Crowd,Drama,far_from_the_madding_crowd_xlg.jpg
133195,Hitman: Agent 47,Action | Crime | Thriller,hitman_agent_forty_seven_xlg.jpg
133419,Pitch Perfect 2,Comedy,pitch_perfect_two_xlg.jpg
133798,Hot Pursuit,Action | Comedy,hot_pursuit_xlg.jpg
134130,The Martian,Action | Adventure | Sci-Fi,martian_xlg.jpg
134368,Spy,Action | Comedy,spy_xlg.jpg
134393,Trainwreck,Comedy,trainwreck_xlg.jpg
134783,Entourage,Comedy,entourage_xlg.jpg
134853,Inside Out,Animation | Children | Comedy,inside_out_xlg.jpg
134881,Love & Mercy,Drama,love_and_mercy_xlg.jpg
135133,The Hunger Games: Mockingjay - Part 2,Adventure,hunger_games_mockingjay__part_two_xlg.jpg
135288,Mr. Holmes,Crime | Drama | Mystery,mr_holmes_xlg.jpg
135504,Little Boy,Comedy | Drama | War,little_boy_xlg.jpg
135532,The Last Witch Hunter,Action | Adventure | Fantasy,last_witch_hunter_xlg.jpg
135534,Krampus,Comedy | Fantasy | Horror,krampus_xlg.jpg
135861,Ted 2,Comedy,ted_two_xlg.jpg
135887,Minions,Adventure | Animation | Children | Comedy,minions_xlg.jpg
136018,Black Mass,Crime | Drama,black_mass_xlg.jpg
136020,Spectre,Action | Adventure | Crime,spectre_xlg.jpg
136562,Steve Jobs,Drama,steve_jobs_xlg.jpg
136564,Macbeth,Drama,macbeth_xlg.jpg
136598,Vacation,Adventure | Comedy,vacation_xlg.jpg
138036,The Man from U.N.C.L.E.,Action | Adventure | Comedy,man_from_uncle_xlg.jpg
139385,The Revenant,Adventure | Drama,revenant_xlg.jpg
139415,Irrational Man,Drama,irrational_man_xlg.jpg
139642,Southpaw,Action | Drama,southpaw_xlg.jpg
139644,Sicario,Crime | Drama | Mystery,sicario_xlg.jpg
140110,The Intern,Comedy,intern_xlg.jpg
140247,The Gift,Drama | Horror,gift_xlg.jpg
140711,American Ultra,Action | Comedy,american_ultra_xlg.jpg
140715,Straight Outta Compton,Drama,straight_outta_compton_xlg.jpg
140725,Cop Car,Thriller,cop_car_xlg.jpg
140816,Tangerine,Comedy | Drama,tangerine_xlg.jpg
140820,Air,Sci-Fi | Thriller,air_xlg.jpg
142074,Knock Knock,Horror | Thriller,knock_knock_xlg.jpg
142448,Everest,Adventure | Drama | Thriller,everest_xlg.jpg
142488,Spotlight,Thriller,spotlight_xlg.jpg
142507,Pawn Sacrifice,Drama,pawn_sacrifice_xlg.jpg
143257,Ashby,Comedy | Drama,ashby_xlg.jpg
143385,Bridge of Spies,Drama | Thriller,bridge_of_spies_xlg.jpg
144976,Bone Tomahawk,Horror | Western,bone_tomahawk_xlg.jpg
146656,Creed,Drama,creed_xlg.jpg
148626,The Big Short,Drama,big_short_xlg.jpg
